Class,Precision,Recall,F1-Score,Support
Center,0.339662447257384,0.21509686038744155,0.26339468302658486,1497
Donut,0.4595414699932569,0.9092728485657104,0.6105263157894737,1499
Edge-Loc,0.25835866261398177,0.11333333333333333,0.15755329008341057,1500
Edge-Ring,0.4275115919629057,0.922,0.5841605068637804,1500
Loc,0.2646490663232453,0.274,0.2692433671798231,1500
Near-full,0.9676966292134831,0.9186666666666666,0.9425444596443229,1500
Random,0.8160714285714286,0.914,0.8622641509433961,1500
Scratch,0.5567423230974633,0.278,0.37083148065807026,1500
none,0.568904593639576,0.10733333333333334,0.18059450364554125,1500
